index,prediction,entity_value
501,19.2 gram,19.2 gram
502,,2.4 gram
503,,8.0 kilogram
504,,4.0 ounce
505,,12.0 pound
506,,5.0 gram
507,,"[70.0, 100.0] millilitre"
508,"36 volt, 36 volt",36.0 volt
509,,150.0 kilogram
510,,10.0 ounce
511,,0.0 gram
512,,340.0 gram
513,,60.0 gram
514,,266.0 gram
515,,60.0 gram
516,18 gram,16.0 gram
517,,14.2 gram
518,180 gram,180.0 gram
519,500 gram,1.1 pound
520,,25.0 volt
521,,20.0 watt
522,,2.0 kilogram
523,,152 gram
524,"24 gm, 30.4 gm, 5.5 gm, 3 gm",152 gram
525,,152 gram
526,,152 gram
527,,235 gram
528,,1.76 ounce
529,,25 kilogram
530,,4.5 kilogram
531,,80 gram
532,,30 pound
533,,5 millilitre
534,,5 millilitre
535,,15.0 kilogram
536,95 centimetre,95.0 centimetre
537,,10000 milligram
538,,10000 milligram
539,,10000 milligram
540,,10000 milligram
541,,2.4 gram
542,235 gram,235.0 gram
543,6.1 gram,6.1 gram
544,,699.0 litre
545,2 gram,2.0 gram
546,,3.7 gram
547,"1 kilogram, 100 gram",1 kilogram
548,,104 gram
549,,623 gram
550,,623 gram
551,,350 gram
552,10 watt,10.0 watt
553,0.65 kilogram,0.65 kilogram
554,,10.3 kilogram
555,,9361.0 ton
556,2.4 gram,2.4 gram
557,2.1 gram,2.1 gram
558,,209.0 gram
559,0.69 kilogram,0.69 kilogram
560,,200.0 gram
561,"4 gram, 5 gram, 360 gram",360.0 gram
562,,360.0 gram
563,"4 gram, 5 gram, 12.7 ounce, 360 gram",360.0 gram
564,"4 gram, 5 gram",360.0 gram
565,"13 gram, 6 gram, 4 gram, 1 gram, 5 gram",5.0 gram
566,"4 gram, 13 gram, 0 gram, 0 gram, 6 gram, 4 gram, 1 gram, 0 gram, 5 gram",13.0 gram
567,8 gram,8.0 gram
568,,1800.0 watt
569,,180.0 milligram
570,,1800.0 milligram
571,,1800.0 milligram
572,,1800.0 milligram
573,,1800.0 milligram
574,,1800.0 milligram
575,,0.43 ounce
576,,1.0 gram
577,,1.0 gram
578,,661.0 pound
579,,100.0 millilitre
580,,1.0 kilogram
581,30 millilitre,30.0 millilitre
582,,10.0 kilogram
583,,227.0 gram
584,,2.0 ton
585,23 gram,23.0 gram
586,,55.0 pound
587,25 kilogram,55.0 pound
588,23 gram,23.0 gram
589,"10 gram, 4.5 gram, 7 gram, 10 gram, 9.5 gram, 45 gram",0.35 ounce
590,1.05 kilogram,1.05 kilogram
591,,2.25 pound
592,,180.0 gram
593,,180.0 gram
594,,8.0 watt
595,,90.0 microgram
596,,90.0 microgram
597,,90.0 microgram
598,,16.0 kilogram
599,,10 gram
600,15 gram,15 gram
601,,20 kilogram
602,360.00 kilogram,100 kilogram
603,,50 gram
604,,59 gram
605,,250 gram
606,,250 gram
607,,250 gram
608,,250 gram
609,250 gram,250 gram
610,15 kilogram,15.0 kilogram
611,,500.0 milligram
612,,700.0 milligram
613,,700.0 milligram
614,2.6 gram,2.6 gram
615,,15.0 milligram
616,,15.0 milligram
617,20 gram,20.0 gram
618,8 gram,8.0 gram
619,,27.0 ounce
620,,99.0 gram
621,,99.0 gram
622,,99.0 gram
623,,99.0 gram
624,396 gram,396.0 gram
625,,99.0 gram
626,"0 gram, 99 gram, 0 gram, 0 gram, 0 gram, 14 gram, 2 gram, 9 gram, 0 gram",99.0 gram
627,,99.0 gram
628,32 gram,32.0 gram
629,0.55 kilogram,1.2 pound
630,,128.0 fluid ounce
631,,128.0 fluid ounce
632,,10.0 millilitre
633,10 millilitre,10.0 millilitre
634,,10.0 millilitre
635,,10.0 millilitre
636,4.4 pound,4.4 pound
637,,2.9 gram
638,35 pound,35.0 pound
639,725 gram,725.0 gram
640,,500.0 watt
641,,48.0 volt
642,"12 volt, 12 volt",12.0 volt
643,,200.0 gram
644,,200.0 gram
645,106 gram,106.0 gram
646,"1 ounce, 3,6 ounce",3.6 ounce
647,,71.2 pound
648,,4.0 gram
649,,1208.0 gram
650,,360.0 pound
651,,250 gram
652,,1.1 pound
653,100 gm,100 gram
654,,100 gram
655,,100 gram
656,,100 gram
657,14 gram,14 gram
658,150 gram,150 gram
659,,100 gram
660,3.3 gram,3.3 gram
661,,300.0 kilogram
662,,1500.0 watt
663,,15.7 kilogram
664,,800.0 gram
665,800 gram,800.0 gram
666,"2 kilogram, 0.13 kilogram",0.13 kilogram
667,,40.0 gram
668,730 gram,730.0 gram
669,"1 ton, 12.5 gram",12.5 gram
670,21 centimetre,21.0 centimetre
671,10 gram,10.0 gram
672,,"[17.0, 21.0] kilogram"
673,,"[13.0, 16.0] kilogram"
674,"21 kilogram, 46 pound","[13.0, 16.0] kilogram"
675,8 gram,8.0 gram
676,250 millilitre,250.0 millilitre
677,250 millilitre,250.0 millilitre
678,,250.0 millilitre
679,,250.0 millilitre
680,,250.0 millilitre
681,,250.0 millilitre
682,,250.0 millilitre
683,,21.1 gram
684,,776.58 gram
685,,35.0 kilogram
686,,200 gram
687,,1.5 kilogram
688,240.00 kilogram,240 kilogram
689,,960 gram
690,,10 ounce
691,60 watt,60.0 watt
692,,50.0 pound
693,,4.0 quart
694,,4.0 quart
695,,4.0 quart
696,,0.423 ounce
697,,84200701.0 ounce
698,,0.14 pound
699,,3.0 gram
700,24 gram,24.0 gram
701,,300.0 gram
702,,199.0 gram
703,"22 gram, 5 gram, 1 gram, 0 gram, 5 gram, 5 gram, 80 gram, 20 gram, 30 gram",22.0 gram
704,,2.4 watt
705,"25 gram, 7 gram",25.0 gram
706,"0,200 kilogram",200.0 kilogram
707,,4.0 ton
708,,110.0 volt
709,,60.0 watt
710,"9.2 pound, 250 pound",9.2 pound
711,5.78 ounce,5.78 ounce
712,,250.0 volt
713,585 gram,585.0 gram
714,9 gram,9.0 gram
715,,35.0 gram
716,200 gram,200.0 gram
717,200 gram,200.0 gram
718,200 gram,200.0 gram
719,,2000.0 milligram
720,"2 gram, 2 gram, 2 gram, 4 gram",2000.0 milligram
721,,230.0 volt
722,"230 volt, 17 volt, 11 volt, 17 volt, 5 volt","[11.0, 17.0] volt"
723,18 volt,18.0 volt
724,,1000 milligram
725,,280.0 gram
726,3.6 gram,3.6 gram
727,9.82 gram,9.82 gram
728,,1.25 kilogram
729,"35 kilogram, 35 kilogram, 50 kilogram, 50 kilogram, 70 kilogram, 70 kilogram, 85 kilogram",35.0 kilogram
730,,2.0 ounce
731,265 gram,265.0 gram
732,,3.17 ounce
733,,750.0 gram
734,,16.0 kilogram
735,,2023.0 ounce
736,,179.0 kilogram
737,"400 watt, 250 watt",250.0 watt
738,,280.0 gram
739,"4 gram, 80 gram",2.82 ounce
740,,2.82 ounce
741,,1000.0 gram
742,"24,5 kilogram, 120 kilogram",24.5 kilogram
743,"6.9 gram, 9 gram, 9.5 gram, 10 gram, 11 gram, 12 gram, 15 gram, 16 gram",6.9 gram
744,9.98 kilogram,270 pound
745,,200 millilitre
746,,285 pound
747,,200 gram
748,45 gram,1.59 ounce
749,3.40 gram,3.4 gram
750,"100 gram, 677 gram",3.2 gram
751,,3.2 gram
752,0.41 kilogram,0.41 kilogram
753,,65.0 ton
754,95.6 gram,95.6 gram
755,220 gram,220.0 gram
756,,2.0 ounce
757,0.93 kilogram,0.93 kilogram
758,,21116.0 ton
759,,382.2 gram
760,,85.0 ton
761,,50.0 watt
762,,50.0 watt
763,50 watt,50.0 watt
764,,50.0 watt
765,,50.0 watt
766,50 watt,50.0 watt
767,420 volt,120.0 volt
768,,88.0 ounce
769,,25.0 gram
770,,0.88 ounce
771,,"[220.0, 250.0] volt"
772,14 gram,14.0 gram
773,,4.0 ounce
774,,8.0 ounce
775,,4.0 ounce
776,6.5 gram,6.5 gram
777,,35.0 gram
778,"600 watt, 600 watt",600.0 watt
779,,7 ounce
780,"7 ounce, 200 gram",200 gram
781,,200 gram
782,,284 gram
783,,10 ounce
784,,0.65 kilogram
785,,0.1 gram
786,,42.0 watt
787,9. 1 gram,1.0 gram
788,174 gram,174.0 gram
789,950 gram,950.0 gram
790,,32.0 gram
791,,725.0 gram
792,2.7 gram,2.7 gram
793,,18.0 watt
794,18.5 gram,18.5 gram
795,,135.0 ounce
796,,2.29 ounce
797,,"[1.0, 2.0] gram"
798,,3.0 horsepower
799,55 pound,"[7.0, 25.0] kilogram"
800,,3.0 ounce
801,,7.0 pound
802,"100 millilitre, 100 millilitre",100.0 millilitre
803,,8600.0 gram
804,,15.3 gram
805,2 volt,2.0 volt
806,,12.0 volt
807,,12.0 volt
808,,1.76 fluid ounce
809,,1.76 fluid ounce
810,60 millilitre,1.76 fluid ounce
811,,50.0 fluid ounce
812,,1.76 fluid ounce
813,0.14 ounce,0.14 ounce
814,0.75 watt,0.75 watt
815,0.75 watt,0.75 watt
816,60 watt,60.0 watt
817,,150.0 gram
818,,10.0 gram
819,,10.0 gram
820,,10.0 gram
821,"1 kilogram, 0.0 gram, 1 gram, 0.06 gram, 100 gram, 77,1 gram, 0 gram, 0.0 gram, 4 gram",1.0 kilogram
822,,750.0 watt
823,,5.5 milligram
824,,22.5 watt
825,,100 gram
826,,100 gram
827,"100 gram, 16 gram, 2 gram, 100 gram",100 gram
828,,23.0 kilogram
829,,100 gram
830,,62 gram
831,14. 2 gram,2 gram
832,2.7 kilogram,2.7 kilogram
833,,900 gram
834,,900 gram
835,"2.1 gram, 0.2 gram",2.1 gram
836,,1.69 fluid ounce
837,,1.69 fluid ounce
838,,1.69 fluid ounce
839,,1.69 fluid ounce
840,,120.0 gram
841,,750.0 gram
842,100 gram,100.0 gram
843,,60.0 gram
844,,150.0 kilogram
845,300 gram,300.0 gram
846,50 gram,50.0 gram
847,185 gram,185.0 gram
848,40 gram,40.0 gram
849,"37 gram, 56.0 gram, 20.5 gram, 0.09 gram",37.0 gram
850,,56.0 gram
851,8 fl oz,8.0 fluid ounce
852,,1080.0 horsepower
853,,226.0 gram
854,,2.0 gram
855,,340.0 gram
856,340 gram,340.0 gram
857,340 gram,340.0 gram
858,,340.0 gram
859,,340.0 gram
860,,340.0 gram
861,"4 gram, 60 gram, 80 gram, 80 gram",80 gram
862,60 gram,60 gram
863,80 gram,80 gram
864,80 gram,80 gram
865,,1 kilogram
866,,50 gram
867,"1.2 kilogram, 1.8 kilogram, 1.4 kilogram, 2.1 kilogram, 1.6 kilogram, 2.4 kilogram, 18 kilogram, 2.8 kilogram, 23 gram, 34 gram, 3.6 gram, 77 pound, 481 gram, 5.21 gram",2.3 kilogram
868,,347 gram
869,,347 gram
870,,552 gram
871,,552 gram
872,,552 gram
873,,4.0 gram
874,,270.0 gram
875,,78.0 gram
876,,200.0 milligram
877,,1300.0 milligram
878,,1300.0 milligram
879,,5.0 kilogram
880,4 watt,4.0 watt
881,,24.0 milligram
882,,24.0 milligram
883,,24.0 milligram
884,,24.0 milligram
885,,24.0 milligram
886,,30 gram
887,45 gm,45.0 gram
888,,10.0 gram
889,"0.22 pound, 98.5 gram",0.22 pound
890,,7.0 ounce
891,,1000.0 microgram
892,,1000.0 microgram
893,,1000.0 microgram
894,,1000.0 microgram
895,,1000.0 microgram
896,,100.0 gram
897,,500.0 gram
898,1 gram,1.1 pound
899,"135 kilogram, 150 kilogram","[135.0, 150.0] kilogram"
900,,22.0 kilowatt
901,,330.0 pound
902,14 gram,14.0 gram
903,,2.7 gram
904,"11 kilogram, 15 kilogram","[5.0, 11.0] kilogram"
905,,"[5.0, 11.0] kilogram"
906,,20.7 kilogram
907,,6.0 gram
908,,100.0 litre
909,,1913.0 decilitre
910,"100 millilitre, 100 millilitre, 100 millilitre, 100 millilitre, 100 millilitre, 100 millilitre, 100 millilitre, 100 millilitre, 200 millilitre, 200 millilitre",100.0 millilitre
911,26 gram,26.0 gram
912,0.41 kilogram,0.41 kilogram
913,0.7 kilogram,0.7 kilogram
914,,500.0 milligram
915,,87 gram
916,500 gram,500 gram
917,,789 gram
918,,45 gram
919,,250 gram
920,"250 gram, 8.8 ounce",250 gram
921,,250 gram
922,,250 gram
923,5 pound,3.5 pound
924,,3.5 pound
925,,3.5 pound
926,,200.0 gram
927,7 gram,7 gram
928,5.1 pound,5.1 pound
929,7.2 volt,7.2 volt
930,6.04 ounce,6.04 ounce
931,,180.0 gram
932,15 gram,15.0 gram
933,33 gram,33.0 gram
934,150 gram,150.0 gram
935,,1500.0 milligram
936,,100.0 milligram
937,,300.0 milligram
938,,1500.0 milligram
939,,75.0 microgram
940,,75.0 microgram
941,124 gram,124.0 gram
942,,30.8 pound
943,,88.0 gram
944,,30.0 watt
945,,100.0 watt
946,,100.0 watt
947,500 gram,500.0 gram
948,48 volt,48.0 volt
949,,5.0 volt
950,,1.1 kilogram
951,335 gram,335.0 gram
952,300 gram,300.0 gram
953,,1000.0 kilogram
954,15 kilogram,15.0 kilogram
955,6 watt,6.0 watt
956,30 volt,30.0 volt
957,90 gram,90.0 gram
958,,14.0 kilogram
959,,1000.0 gram
960,"80 gram, 80 gram",80.0 gram
961,260 gram,260 gram
962,"100 gram, 44.24 gram, 17.81 gram, 10.5 gram",100 gram
963,,25 kilogram
964,,10 kilogram to 25 kilogram
965,,300 gram
966,,3 gram
967,,3 gram
968,,2.25 gram
969,,200 gram
970,250 gram,250 gram
971,,500 gram
972,"20 kilogram, 20 kilogram",20 kilogram
973,,100 gram
974,"13 gram, 1 gram",1 gram
975,,20.0 gram
976,15.5 gram,15.5 gram
977,,20.5 centimetre
978,23 gram,23.0 gram
979,4.5 gram,4.5 gram
980,,1080.0 horsepower
981,,14 kilogram
982,,14 kilogram
983,9 gram,9 gram
984,,320 gram
985,,5.8 gram
986,"4 gram, 5.8 gram",5.8 gram
987,,0.0 pound
988,,2.0 gram
989,,750.0 watt
990,,750.0 watt
991,,220.0 volt
992,125 gram,125.0 gram
993,,1688.0 gram
994,,10 kilogram
995,,470 gram
996,,454 gram
997,,4.0 ounce
998,,0.5 volt
999,8 gram,1023.0 gram
